name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,early_to_mid_percent_increase,rank_salary_potential_state
Central College,Iowa,49000,88800,55,36,0.812,9
Central Connecticut State University,Connecticut,53100,93700,45,15,0.765,12
Central Michigan University,Michigan,47700,83600,46,13,0.753,23
Central Washington University,Washington,52700,93200,47,13,0.769,14
Centre College,Kentucky,49500,88500,52,22,0.788,4
Chadron State College,Nebraska,42300,76700,66,3,0.813,16
Chaminade University of Honolulu,Hawaii,45400,84000,55,3,0.85,4
Champlain College,Vermont,51100,88400,39,14,0.73,7
Charles R Drew University of Medicine and Science,California,78300,135700,0,3,0.733,5
Charleston Southern University,South-Carolina,42800,76300,65,9,0.783,17
Charter Oak State College,Connecticut,49200,85900,68,2,0.746,18
Christian Brothers University,Tennessee,51500,96500,60,14,0.874,4
Christopher Newport University,Virginia,50800,87200,55,25,0.717,17
Citadel Military College of South Carolina,South-Carolina,60400,108100,62,19,0.79,1
City University of Seattle,Washington,51500,94600,54,4,0.837,13
Claremont McKenna College,California,68500,125400,43,16,0.831,9
Clark Atlanta University,Georgia,46300,81100,54,15,0.752,18
Clark College,Washington,43500,78400,0,9,0.802,24
Clark University,Massachusetts,52600,101400,47,14,0.928,23
Clarke University,Iowa,44900,80200,52,6,0.786,20
Clarkson College,Nebraska,50900,91500,74,0,0.798,4
Clarkson University,New-York,66400,130100,58,58,0.959,8
Clayton  State University,Georgia,46400,81200,54,9,0.75,17
Cleary University,Michigan,47400,84700,50,0,0.787,22
Clemson University,South-Carolina,57500,106700,50,39,0.856,2
Cleveland State University,Ohio,48300,88600,51,20,0.834,21
Coastal Carolina University,South-Carolina,44700,77600,48,14,0.736,13
Coe College,Iowa,47200,86900,41,24,0.841,13
Colby College,Maine,59200,103300,50,25,0.745,4
Colby-Sawyer College,New-Hampshire,46400,83700,43,7,0.804,9
Colgate University,New-York,68400,130600,41,26,0.909,7
College for Creative Studies,Michigan,51200,89800,40,0,0.754,16
College of Charleston,South-Carolina,47300,85100,44,20,0.799,8
College of Saint Benedict,Minnesota,49100,88600,50,18,0.804,15
College of Saint Mary,Nebraska,43900,77700,45,9,0.77,14
College of St Joseph,Vermont,47000,85000,72,0,0.809,8
College of the Holy Cross,Massachusetts,61800,114600,46,24,0.854,12
