name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,early_to_mid_percent_increase,rank_salary_potential_state
North Carolina State University at Raleigh,North-Carolina,57300,106500,52,47,0.859,4
North Carolina Wesleyan College,North-Carolina,45300,78800,62,8,0.74,21
North Central College,Illinois,50400,92900,45,9,0.843,19
North Dakota State University-Main Campus,North-Dakota,54200,98600,56,27,0.819,1
Northeastern State University,Oklahoma,44500,77600,58,7,0.744,16
Northeastern University,Massachusetts,62500,109700,46,40,0.755,16
Northern Arizona University,Arizona,49600,90000,56,12,0.815,4
Northern Illinois University,Illinois,53000,95500,47,20,0.802,14
Northern Kentucky University,Kentucky,49000,87400,46,12,0.784,6
Northern State University,South-Dakota,42300,77700,56,7,0.837,7
Northwest Christian University,Oregon,45200,81100,62,5,0.794,17
Northwest Missouri State University,Missouri,46900,85100,50,26,0.814,13
Northwest Nazarene University,Idaho,46200,80600,68,7,0.745,6
Northwest University,Washington,50900,89000,51,3,0.749,16
Northwestern College,Iowa,44800,82400,42,11,0.839,18
Northwestern Oklahoma State University,Oklahoma,42200,76800,55,11,0.82,18
Northwestern State University of Louisiana,Louisiana,44300,79300,62,6,0.79,20
Northwestern University,Illinois,63400,115400,46,20,0.82,2
Northwood University,Michigan,47800,86300,47,1,0.805,19
Norwich University,Vermont,57000,99100,51,20,0.739,3
Notre Dame of Maryland University,Maryland,48300,86400,58,3,0.789,23
Nova Southeastern University,Florida,50200,89800,60,9,0.789,14
Oakland University,Michigan,51300,93300,49,19,0.819,9
Oakwood University,Alabama,43500,78800,71,16,0.811,15
Oberlin College,Ohio,53100,96800,47,21,0.823,13
Oglethorpe University,Georgia,52400,91400,50,12,0.744,6
Ohio Northern University,Ohio,54400,103900,49,22,0.91,6
Ohio State University-Main Campus,Ohio,55300,98600,49,27,0.783,10
Ohio University-Main Campus,Ohio,51400,93300,47,9,0.815,17
Ohio Valley University,West-Virginia,38800,71100,81,1,0.832,16
Ohio Wesleyan University,Ohio,51300,99200,46,21,0.934,9
Oklahoma Baptist University,Oklahoma,43900,76600,62,8,0.745,19
Oklahoma Christian University,Oklahoma,49700,87900,57,41,0.769,7
Oklahoma City University,Oklahoma,47700,87900,58,9,0.843,7
Oklahoma Panhandle State University,Oklahoma,42300,74400,54,10,0.759,20
Oklahoma State University Institute of Technology,Oklahoma,52600,92300,53,14,0.755,5
Oklahoma State University-Main Campus,Oklahoma,52800,98600,54,25,0.867,4
Oklahoma Wesleyan University,Oklahoma,43300,78700,58,1,0.818,15
Old Dominion University,Virginia,50200,89900,52,19,0.791,14
Oral Roberts University,Oklahoma,45900,85100,59,8,0.854,9
Oregon Health & Science University,Oregon,65400,108300,79,10,0.656,1
Oregon Institute of Technology,Oregon,61200,106800,60,27,0.745,2
Oregon State University,Oregon,56200,104800,53,34,0.865,5
Ottawa University-Kansas City,Kansas,45200,82600,0,9,0.827,13
Ottawa University-Online,Kansas,47300,84900,0,7,0.795,8
Ottawa University-Ottawa,Kansas,49800,89900,57,7,0.805,4
Ottawa University-Phoenix,Arizona,42000,74600,54,0,0.776,6
Ouachita Baptist University,Arkansas,44100,80200,58,18,0.819,8
Pace University-New York,New-York,59800,107800,40,14,0.803,24
Pacific Lutheran University,Washington,54500,98100,53,20,0.8,10
Pacific Northwest College of Art,Oregon,46300,85000,0,0,0.836,15
Pacific University,Oregon,50200,94000,66,8,0.873,8
Park University,Missouri,48500,85000,56,7,0.753,14
Pennsylvania State University-Main Campus,Pennsylvania,58500,105500,47,37,0.803,13
Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania,58800,97900,44,32,0.665,25
Pennsylvania State University-Penn State Harrisburg,Pennsylvania,55000,100400,47,31,0.825,19
Peru State College,Nebraska,42600,74800,50,6,0.756,17
Pfeiffer University,North-Carolina,44200,78000,51,4,0.765,23
Philander Smith College,Arkansas,34600,61200,0,26,0.769,19
Pittsburg State University,Kansas,47100,84900,51,8,0.803,8
Plymouth State University,New-Hampshire,47000,82200,50,6,0.749,12
Polytechnic University of Puerto Rico-Miami,Florida,60600,108300,61,10,0.787,2
Polytechnic University of Puerto Rico-Orlando,Florida,57600,102200,66,29,0.774,5
Pomona College,California,63800,117200,47,37,0.837,13
Portland State University,Oregon,50800,90500,48,16,0.781,12
Prairie View A&M University,Texas,57800,99400,65,22,0.72,17
Presbyterian College,South-Carolina,48800,89900,57,14,0.842,6
Prescott College,Arizona,41200,73500,69,0,0.784,7
Princeton University,New-Jersey,75200,139400,48,48,0.854,2
Principia College,Illinois,52600,94900,56,19,0.804,17
Providence College,Rhode-Island,58900,106900,44,11,0.815,3
Purdue University-Main Campus,Indiana,60900,110000,48,38,0.806,4
Queens University of Charlotte,North-Carolina,49400,86600,48,9,0.753,9
Quinnipiac University,Connecticut,55900,97700,46,10,0.748,10
Radford University,Virginia,48900,82900,53,10,0.695,22
Ramapo College of New Jersey,New-Jersey,51600,95200,41,12,0.845,15
Randolph College,Virginia,47000,86100,50,23,0.832,19
Reed College,Oregon,56100,104900,44,26,0.87,3
Regis University,Colorado,55500,94800,58,13,0.708,8
Rensselaer Polytechnic Institute,New-York,71300,134100,49,78,0.881,6
Rhode Island College,Rhode-Island,47200,83500,52,5,0.769,9
Rhode Island School of Design,Rhode-Island,55500,100600,39,0,0.813,4
Rhodes College,Tennessee,51900,97800,46,25,0.884,2
Rice University,Texas,71000,129500,50,45,0.824,1
Rider University,New-Jersey,51600,99000,47,5,0.919,8
Ripon College,Wisconsin,46300,89600,60,26,0.935,10
Rivier University,New-Hampshire,49500,85100,58,41,0.719,8
Roanoke College,Virginia,48500,85100,53,18,0.755,20
Rockhurst University,Missouri,54000,92500,59,11,0.713,7
Rocky Mountain College,Montana,46000,82900,59,12,0.802,5
Roger Williams University,Rhode-Island,52900,92700,48,12,0.752,8
Rogers State University,Oklahoma,41400,73800,48,11,0.783,22
Rollins College,Florida,49000,87000,53,7,0.776,18
Rose-Hulman Institute of Technology,Indiana,75000,135800,51,96,0.811,1
Rowan University,New-Jersey,51100,91200,43,21,0.785,20
Rush University,Illinois,63500,107600,88,6,0.694,5
Rust College,Mississippi,34800,62400,76,32,0.793,13
Rutgers University-Camden,New-Jersey,51100,93900,50,9,0.838,17
Rutgers University-New Brunswick,New-Jersey,59800,111000,42,29,0.856,4
Rutgers University-Newark,New-Jersey,57900,101800,52,11,0.758,6
Sacred Heart University,Connecticut,55000,100500,46,15,0.827,9
Saginaw Valley State University,Michigan,46400,82200,54,12,0.772,25
Saint Ambrose University,Iowa,46900,84400,48,8,0.8,17
Saint Anselm College,New-Hampshire,56400,100300,59,11,0.778,2
Saint Cloud State University,Minnesota,51600,91600,50,15,0.775,11
Saint Francis Medical Center College of Nursing,Illinois,52800,90800,0,0,0.72,22
Saint Johns University,Minnesota,59400,108400,45,25,0.825,2
Saint Joseph's College of Maine,Maine,46900,84300,60,2,0.797,7
Saint Joseph's University,Pennsylvania,57300,105100,41,6,0.834,14
Saint Louis University,Missouri,54200,95300,56,13,0.758,4
Saint Martin's University,Washington,53200,91800,60,29,0.726,15
Saint Mary's College,Indiana,49700,89300,54,15,0.797,12
Saint Mary's College of California,California,59900,110800,51,5,0.85,21
Saint Mary's University of Minnesota,Minnesota,53000,93700,53,5,0.768,10
Saint Michael's College,Vermont,52900,98500,40,18,0.862,4
Saint Norbert College,Wisconsin,49300,88700,40,15,0.799,13
Saint Peter's University,New-Jersey,52900,95900,35,14,0.813,12
Saint Xavier University,Illinois,49400,91200,60,10,0.846,20
Salisbury University,Maryland,50400,89800,51,12,0.782,19
Salve Regina University,Rhode-Island,53000,93900,50,6,0.772,6
Samford University,Alabama,48400,90500,52,3,0.87,5
Samuel Merritt University,California,91200,154100,90,0,0.69,2
San Jose State University,California,63000,114700,53,28,0.821,17
Santa Clara University,California,69900,134700,44,29,0.927,6
Savannah College of Art and Design,Georgia,46800,80100,34,3,0.712,21
Seattle Pacific University,Washington,53600,103400,52,9,0.929,6
Seattle University,Washington,60600,113700,59,12,0.876,1
Seton Hall University,New-Jersey,57100,103800,45,8,0.818,5
Sewanee-The University of the South,Tennessee,53700,97800,57,17,0.821,2
Shenandoah University,Virginia,48700,86600,57,7,0.778,18
Shepherd University,West-Virginia,47100,87100,48,12,0.849,4
Shorter University,Georgia,45600,79900,55,6,0.752,22
Sierra Nevada College,Nevada,54000,95500,39,2,0.769,1
Simpson College,Iowa,49900,88600,47,17,0.776,11
Smith College,Massachusetts,52700,98200,51,26,0.863,24
South Carolina State University,South-Carolina,44500,80800,71,16,0.816,10
South Dakota School of Mines and Technology,South-Dakota,66500,118500,58,92,0.782,1
South Dakota State University,South-Dakota,50500,91900,58,18,0.82,2
Southeast Missouri State University,Missouri,43700,79100,52,9,0.81,20
Southeastern Louisiana University,Louisiana,46700,83900,51,8,0.797,15
Southeastern Oklahoma State University,Oklahoma,45000,80500,53,15,0.789,14
Southern Adventist University,Tennessee,47500,84000,67,9,0.768,10
Southern Arkansas University Main Campus,Arkansas,42800,80100,56,53,0.871,9
Southern Connecticut State University,Connecticut,48500,83600,51,6,0.724,20
Southern Illinois University-Carbondale,Illinois,49700,90900,54,17,0.829,21
Southern Illinois University-Edwardsville,Illinois,51400,90100,50,21,0.753,24
Southern Methodist University,Texas,59700,110400,46,22,0.849,5
Southern Nazarene University,Oklahoma,46100,81000,62,5,0.757,13
Southern New Hampshire University,New-Hampshire,47400,83400,49,8,0.759,11
Southern Oregon University,Oregon,46000,81200,54,6,0.765,16
Southern University and A&M College,Louisiana,48000,83100,65,17,0.731,16
Southern University at New Orleans,Louisiana,40100,71000,76,13,0.771,22
Southern Utah University,Utah,46400,84400,65,7,0.819,8
Southern Vermont College,Vermont,42900,78700,63,17,0.834,9
Southern Wesleyan University,South-Carolina,42900,74600,52,5,0.739,20
Southwestern College (Kansas),Kansas,48500,83500,61,10,0.722,11
Southwestern Oklahoma State University,Oklahoma,47900,90800,58,5,0.896,6
Southwestern University,Texas,51800,93500,51,19,0.805,25
Spalding University,Kentucky,44800,79200,71,0,0.768,13
Spelman College,Georgia,50200,85400,52,24,0.701,10
Spring Hill College,Alabama,46600,89100,53,12,0.912,6
St Catherine University,Minnesota,48800,82600,65,2,0.693,25
St Mary's College of Maryland,Maryland,53300,95400,45,27,0.79,11
St Olaf College,Minnesota,54100,101900,46,30,0.884,5
St Thomas University,Florida,47400,84500,57,4,0.783,23
St Vincent's College,Connecticut,46800,87900,0,0,0.878,16
St. John's College,Maryland,55900,101200,0,0,0.81,7
St. John's College-Department of Nursing,Illinois,55100,100000,0,0,0.815,10
St. Mary's University,Texas,52900,95300,61,17,0.802,22
Stanford University,California,79000,145200,56,51,0.838,4
Stephens College,Missouri,42800,77200,47,6,0.804,24
Sterling College,Kansas,42700,79100,73,7,0.852,17
Stetson University,Florida,47000,86000,44,7,0.83,21
Stevens Institute of Technology,New-Jersey,75100,139900,47,79,0.863,1
"Stevens-Henager College (Murray, Utah)",Utah,42400,76100,54,51,0.795,9
Stevenson University,Maryland,50400,91600,51,15,0.817,15
Stockton University,New-Jersey,47400,85800,49,16,0.81,25
Stonehill College,Massachusetts,55900,103200,42,18,0.846,19
Stony Brook University,New-York,59200,107800,49,35,0.821,24
SUNY Downstate Medical Center,New-York,64000,109300,83,0,0.708,21
SUNY Maritime College,New-York,74900,140700,53,32,0.879,4
Swarthmore College,Pennsylvania,67500,123200,44,45,0.825,4
Tabor College,Kansas,43300,77500,62,7,0.79,20
Taylor University,Indiana,48700,90600,59,16,0.86,10
Tennessee State University,Tennessee,47200,78400,68,14,0.661,19
Tennessee Technological University,Tennessee,53100,95100,48,28,0.791,6
Texas A&M University-College Station,Texas,60600,115700,53,30,0.909,3
Texas A&M University-Kingsville,Texas,53100,97500,63,53,0.836,20
Texas Christian University,Texas,56000,98700,51,9,0.763,19
Texas Tech University,Texas,56800,106500,54,22,0.875,7
Texas Tech University Health Sciences Center,Texas,61300,104900,86,3,0.711,8
The College of Idaho,Idaho,44700,82100,48,17,0.837,5
The College of New Jersey,New-Jersey,58200,101800,44,16,0.749,6
The College of Saint Scholastica,Minnesota,51200,86800,64,12,0.695,16
The College of Wooster,Ohio,49200,91300,56,32,0.856,19
The Evergreen State College,Washington,47500,83500,47,0,0.758,23
The King's University,Texas,63800,116500,33,0,0.826,2
The University of Alabama,Alabama,52300,97400,50,15,0.862,3
The University of Findlay,Ohio,49100,87900,53,3,0.79,23
The University of Montana,Montana,46500,87800,51,8,0.888,4
The University of Montana-Western,Montana,35400,63700,63,4,0.799,9
The University of Tampa,Florida,49200,91500,48,8,0.86,9
The University of Tennessee-Chattanooga,Tennessee,46000,82300,56,17,0.789,13
The University of Tennessee-Knoxville,Tennessee,51200,95100,52,21,0.857,6
The University of Tennessee-Martin,Tennessee,44400,78600,58,10,0.77,18
The University of Texas at Arlington,Texas,55400,99500,55,22,0.796,16
The University of Texas at Austin,Texas,60700,112800,49,28,0.858,4
The University of Texas at Dallas,Texas,57100,100900,42,44,0.767,14
The University of Texas Health Science Center at Houston,Texas,65400,109400,80,14,0.673,6
The University of Texas Health Science Center at San Antonio,Texas,59400,100200,85,4,0.687,15
The University of Texas Medical Branch,Texas,61100,103100,87,3,0.687,10
The University of Virginia's College at Wise,Virginia,46500,82600,53,5,0.776,23
Thomas College,Maine,46100,81500,49,3,0.768,8
Thomas Edison State University,New-Jersey,52500,95600,54,0,0.821,13
Thomas Jefferson University,Pennsylvania,63400,102500,83,7,0.617,16
Thomas More College,Kentucky,50000,90900,56,8,0.818,2
Thomas More College of Liberal Arts,New-Hampshire,48900,88300,0,0,0.806,5
Tougaloo College,Mississippi,36900,66400,69,18,0.799,12
Towson University,Maryland,51200,91200,47,15,0.781,16
Transylvania University,Kentucky,47900,85600,51,25,0.787,7
Trevecca Nazarene University,Tennessee,45300,81700,65,5,0.804,14
Trine University,Indiana,55100,100300,56,26,0.82,6
Trinity Bible College and Graduate School,North-Dakota,34100,61300,0,0,0.798,9
Trinity College,Connecticut,60100,110900,49,22,0.845,5
Trinity University,Texas,54900,102900,46,27,0.874,11
Troy University,Alabama,44500,81500,60,8,0.831,11
Truman State University,Missouri,47900,85800,48,16,0.791,12
Tufts University,Massachusetts,65200,118100,49,25,0.811,7
Tulane University of Louisiana,Louisiana,56800,105300,44,22,0.854,1
Tuskegee University,Alabama,54500,93500,61,30,0.716,4
Union College (Kentucky),Kentucky,40400,76000,37,4,0.881,15
Union College (Nebraska),Nebraska,49100,87800,55,9,0.788,7
Union College (New York),New-York,63300,117500,50,47,0.856,14
Union University,Tennessee,46400,83000,59,6,0.789,12
United States Air Force Academy,Colorado,76300,138100,69,43,0.81,2
United States Coast Guard Academy,Connecticut,67300,118100,68,69,0.755,2
United States Merchant Marine Academy,New-York,80600,140700,62,56,0.746,4
United States Military Academy,New-York,80200,144000,61,39,0.796,2
United States Naval Academy,Maryland,80100,152800,64,58,0.908,1
Unity College,Maine,38200,69500,0,23,0.819,15
University of Akron Main Campus,Ohio,50700,89200,48,22,0.759,20
University of Alabama at Birmingham,Alabama,48600,87200,57,17,0.794,8
University of Alabama in Huntsville,Alabama,57500,103900,59,45,0.807,2
University of Alaska Anchorage,Alaska,56000,101000,57,10,0.804,2
University of Alaska Fairbanks,Alaska,59100,101800,54,20,0.723,1
University of Arizona,Arizona,56100,101000,51,23,0.8,2
University of Arkansas,Arkansas,52500,98000,49,18,0.867,1
University of Arkansas at Little Rock,Arkansas,45600,80800,55,13,0.772,7
University of Arkansas at Monticello,Arkansas,43500,78300,61,2,0.8,12
University of Arkansas at Pine Bluff,Arkansas,40500,70500,67,22,0.741,17
University of Arkansas for Medical Sciences,Arkansas,51700,89100,84,3,0.723,3
University of Arkansas-Fort Smith,Arkansas,40700,71100,55,9,0.747,16
University of Baltimore,Maryland,51000,89600,56,2,0.757,20
University of Bridgeport,Connecticut,49900,93600,59,31,0.876,13
University of California-Berkeley,California,70700,131800,49,36,0.864,7
University of California-Davis,California,61500,112600,52,35,0.831,19
University of California-Irvine,California,59600,116000,49,34,0.946,16
University of California-Los Angeles,California,62000,116100,48,31,0.873,15
University of California-San Diego,California,63400,123700,52,58,0.951,10
University of California-Santa Barbara,California,59700,116300,47,29,0.948,14
University of Central Arkansas,Arkansas,44900,79800,52,8,0.777,10
University of Central Florida,Florida,49700,88600,50,16,0.783,16
University of Central Missouri,Missouri,46900,83300,54,45,0.776,16
University of Central Oklahoma,Oklahoma,45300,82900,56,8,0.83,10
University of Charleston,West-Virginia,44600,81900,51,4,0.836,8
University of Chicago,Illinois,64000,114200,41,22,0.784,4
University of Cincinnati-Main Campus,Ohio,53600,97300,50,19,0.815,11
University of Colorado Boulder,Colorado,57800,109900,48,39,0.901,3
University of Colorado Colorado Springs,Colorado,52200,90900,53,21,0.741,9
University of Colorado Denver/Anschutz Medical Campus,Colorado,53200,95600,52,17,0.797,7
University of Connecticut,Connecticut,59100,105200,48,24,0.78,6
University of Dallas,Texas,53000,96400,49,16,0.819,21
University of Dayton,Ohio,57400,105000,44,33,0.829,4
University of Delaware,Delaware,58600,105400,43,22,0.799,1
University of Denver,Colorado,55700,105100,48,12,0.887,4
University of Detroit Mercy,Michigan,51800,92800,57,13,0.792,10
University of Dubuque,Iowa,44200,79700,48,7,0.803,21
University of Evansville,Indiana,50300,89900,54,17,0.787,11
University of Florida,Florida,55800,102800,52,29,0.842,4
University of Georgia,Georgia,54400,100700,45,14,0.851,3
University of Hartford,Connecticut,55200,101600,53,15,0.841,7
University of Hawaii at Hilo,Hawaii,44000,77200,59,14,0.755,5
University of Hawaii at Manoa,Hawaii,51600,91600,56,18,0.775,3
University of Hawaii-West Oahu,Hawaii,41300,74300,56,0,0.799,6
University of Holy Cross,Louisiana,48400,86300,69,3,0.783,13
University of Houston,Texas,56000,103900,50,24,0.855,9
University of Houston-Clear Lake,Texas,50700,94800,48,29,0.87,23
University of Idaho,Idaho,52300,97700,54,22,0.868,1
University of Illinois at Chicago,Illinois,56300,103800,48,31,0.844,7
University of Illinois at Urbana-Champaign,Illinois,62600,115300,44,36,0.842,3
University of Indianapolis,Indiana,47300,84500,55,5,0.786,21
University of Iowa,Iowa,54100,99400,48,16,0.837,3
University of Jamestown,North-Dakota,47600,85400,64,11,0.794,3
University of Kansas,Kansas,53000,98600,52,16,0.86,1
University of Kentucky,Kentucky,51700,96400,48,19,0.865,1
University of Louisiana at Lafayette,Louisiana,48200,92500,52,19,0.919,5
University of Louisiana at Monroe,Louisiana,48500,92500,65,7,0.907,5
University of Louisville,Kentucky,49500,87600,50,18,0.77,5
University of Maine,Maine,52000,95000,50,24,0.827,5
University of Maine at Augusta,Maine,41600,73100,61,7,0.757,12
University of Maine at Farmington,Maine,41100,71700,64,5,0.745,13
University of Maine at Fort Kent,Maine,43500,76300,73,5,0.754,11
University of Maine at Machias,Maine,37100,66200,47,13,0.784,16
University of Maine at Presque Isle,Maine,39000,70700,58,6,0.813,14
University of Mary,North-Dakota,46400,79100,64,3,0.705,6
University of Mary Washington,Virginia,54200,98200,49,17,0.812,10
University of Maryland Eastern Shore,Maryland,48300,86700,63,14,0.795,22
"University of Maryland, Baltimore",Maryland,57300,99600,76,4,0.738,8
University of Maryland-Baltimore County,Maryland,58100,103600,54,45,0.783,6
University of Maryland-College Park,Maryland,61300,113400,50,33,0.85,4
University of Maryland-University College,Maryland,55300,99600,59,27,0.801,8
University of Massachusetts-Amherst,Massachusetts,57400,103000,46,24,0.794,20
University of Massachusetts-Lowell,Massachusetts,58800,109300,53,35,0.859,17
University of Memphis,Tennessee,47200,85800,55,12,0.818,8
University of Miami,Florida,56200,99600,48,22,0.772,6
University of Michigan-Ann Arbor,Michigan,63500,112200,45,38,0.767,3
University of Michigan-Dearborn,Michigan,55700,99500,39,37,0.786,6
University of Minnesota-Crookston,Minnesota,49200,86400,54,4,0.756,19
University of Minnesota-Duluth,Minnesota,53200,95700,48,30,0.799,9
University of Minnesota-Morris,Minnesota,46100,85300,53,27,0.85,22
University of Minnesota-Twin Cities,Minnesota,57200,104000,51,30,0.818,4
University of Mississippi,Mississippi,48500,89100,55,12,0.837,2
University of Missouri-Columbia,Missouri,52300,98600,49,17,0.885,3
University of Missouri-Kansas City,Missouri,50800,89600,55,24,0.764,9
University of Missouri-St Louis,Missouri,48700,87500,51,13,0.797,10
University of Mobile,Alabama,40600,74100,77,7,0.825,19
University of Montevallo,Alabama,38900,70700,49,7,0.817,22
University of Mount Union,Ohio,48300,88500,41,19,0.832,22
University of Nebraska at Kearney,Nebraska,44300,80800,52,8,0.824,11
University of Nebraska at Omaha,Nebraska,49400,89500,52,18,0.812,6
University of Nebraska Medical Center,Nebraska,53400,93000,79,6,0.742,3
University of Nebraska-Lincoln,Nebraska,51500,96700,53,20,0.878,1
University of Nevada-Las Vegas,Nevada,50400,90400,46,12,0.794,3
University of Nevada-Reno,Nevada,52700,95000,47,24,0.803,2
University of New England,Maine,50100,91500,69,7,0.826,6
University of New Hampshire at Manchester,New-Hampshire,51900,90900,50,32,0.751,4
University of New Hampshire-Main Campus,New-Hampshire,54300,100300,50,23,0.847,2
University of New Haven,Connecticut,52100,94800,52,25,0.82,11
University of New Mexico-Main Campus,New-Mexico,48400,94000,59,19,0.942,3
University of New Orleans,Louisiana,49900,91600,55,23,0.836,7
University of North Alabama,Alabama,43000,75600,61,6,0.758,18
University of North Carolina at Chapel Hill,North-Carolina,55000,100800,49,19,0.833,5
University of North Carolina at Charlotte,North-Carolina,52500,92600,49,25,0.764,8
University of North Carolina School of the Arts,North-Carolina,46400,82400,44,0,0.776,16
University of North Carolina Wilmington,North-Carolina,46400,80500,47,14,0.735,19
University of North Dakota,North-Dakota,53800,96000,54,16,0.784,2
University of North Florida,Florida,48800,86600,51,11,0.775,19
University of North Georgia,Georgia,47300,85600,51,8,0.81,9
University of Northern Colorado,Colorado,47700,87100,52,7,0.826,12
University of Northern Iowa,Iowa,47100,85300,46,8,0.811,15
University of Notre Dame,Indiana,67000,130500,45,28,0.948,2
University of Oklahoma-Health Sciences Center,Oklahoma,57100,102100,68,3,0.788,2
University of Oklahoma-Norman Campus,Oklahoma,54400,100600,52,23,0.849,3
University of Oregon,Oregon,51800,95800,46,13,0.849,7
University of Pennsylvania,Pennsylvania,72800,133900,41,21,0.839,3
University of Pikeville,Kentucky,39000,70700,74,11,0.813,21
University of Pittsburgh-Pittsburgh Campus,Pennsylvania,55900,100400,50,27,0.796,19
University of Portland,Oregon,58500,104900,52,28,0.793,3
University of Providence,Montana,44700,81900,69,16,0.832,6
University of Puget Sound,Washington,54200,101300,45,21,0.869,8
University of Rhode Island,Rhode-Island,54500,99700,50,18,0.829,5
University of Richmond,Virginia,59800,107500,48,13,0.798,7
University of Rochester,New-York,61100,112700,50,32,0.845,16
University of Saint Francis-Fort Wayne,Indiana,45700,83700,63,5,0.832,22
University of Saint Joseph,Connecticut,49900,88800,63,9,0.78,14
University of Saint Mary,Kansas,49500,89700,61,6,0.812,5
University of San Diego,California,58900,109400,48,12,0.857,25
University of San Francisco,California,60600,109900,52,6,0.814,23
University of Science and Arts of Oklahoma,Oklahoma,37300,67400,49,11,0.807,23
University of Scranton,Pennsylvania,56400,99700,42,12,0.768,23
University of Sioux Falls,South-Dakota,44400,78200,64,6,0.761,6
University of South Alabama,Alabama,47700,86400,56,17,0.811,9
University of South Carolina-Aiken,South-Carolina,41600,75100,58,10,0.805,18
University of South Carolina-Columbia,South-Carolina,50300,89900,52,20,0.787,6
University of South Carolina-Upstate,South-Carolina,46000,81400,50,13,0.77,9
University of South Dakota,South-Dakota,47500,87900,56,8,0.851,4
University of South Florida-Main Campus,Florida,49700,91300,49,25,0.837,10
University of Southern California,California,64500,120600,47,23,0.87,11
University of Southern Maine,Maine,46900,81300,55,8,0.733,9
University of Southern Mississippi,Mississippi,45100,83900,56,11,0.86,4
University of St Thomas (Minnesota),Minnesota,57500,106400,50,20,0.85,3
University of the Cumberlands,Kentucky,39800,73800,63,8,0.854,17
University of the Ozarks,Arkansas,42300,74500,58,16,0.761,14
University of the Sciences,Pennsylvania,60700,115200,72,12,0.898,8
University of Toledo,Ohio,51800,92500,52,21,0.786,18
University of Tulsa,Oklahoma,58700,107200,51,36,0.826,1
University of Utah,Utah,54800,102600,57,22,0.872,2
University of Vermont,Vermont,53200,99400,50,22,0.868,2
University of Virginia-Main Campus,Virginia,64500,117500,46,23,0.822,3
University of Washington-Bothell Campus,Washington,60200,108000,53,26,0.794,3
University of Washington-Seattle Campus,Washington,61900,112300,51,34,0.814,2
University of Washington-Tacoma Campus,Washington,56000,96800,50,23,0.729,12
University of West Alabama,Alabama,42700,76100,61,4,0.782,17
University of West Georgia,Georgia,46700,82700,51,9,0.771,15
University of Wisconsin-Eau Claire,Wisconsin,52100,93600,46,14,0.797,7
University of Wisconsin-La Crosse,Wisconsin,49600,88300,53,19,0.78,14
University of Wisconsin-Madison,Wisconsin,57300,104400,48,33,0.822,3
University of Wisconsin-Milwaukee,Wisconsin,50600,90300,50,17,0.785,9
University of Wisconsin-Oshkosh,Wisconsin,47700,84300,52,10,0.767,19
University of Wisconsin-Parkside,Wisconsin,46000,81400,47,17,0.77,24
University of Wisconsin-Platteville,Wisconsin,56800,100300,50,38,0.766,4
University of Wisconsin-River Falls,Wisconsin,47100,81300,52,14,0.726,25
University of Wisconsin-Stout,Wisconsin,50400,89500,47,14,0.776,11
University of Wisconsin-Whitewater,Wisconsin,48900,89300,44,8,0.826,12
University of Wyoming,Wyoming,52400,98800,58,25,0.885,1
Upper Iowa University,Iowa,44200,78000,56,3,0.765,24
Ursinus College,Pennsylvania,54400,101800,42,40,0.871,18
Utah State University,Utah,52400,93900,61,14,0.792,4
Utah Valley University,Utah,51100,90600,57,12,0.773,7
Valdosta State University,Georgia,43400,81000,57,7,0.866,19
Valley City State University,North-Dakota,39900,68600,56,3,0.719,8
Valparaiso University,Indiana,53300,98000,52,31,0.839,8
Vanderbilt University,Tennessee,65400,119100,48,23,0.821,1
Vermont Technical College,Vermont,52400,93900,41,4,0.792,5
Villanova University,Pennsylvania,65100,119500,41,23,0.836,7
Virginia Commonwealth University,Virginia,49900,88200,52,18,0.768,16
Virginia Military Institute,Virginia,65900,120600,68,47,0.83,2
Virginia Polytechnic Institute and State University,Virginia,62700,114000,48,42,0.818,4
Virginia State University,Virginia,44900,81800,61,14,0.822,24
Viterbo University,Wisconsin,46800,81900,62,3,0.75,22
Wabash College,Indiana,62200,114400,40,34,0.839,3
Wake Forest University,North-Carolina,60700,114800,44,13,0.891,2
Walla Walla University,Washington,53700,97800,54,22,0.821,11
Walsh College of Accountancy and Business Administration,Michigan,49400,85200,42,5,0.725,20
Warner Pacific College,Oregon,45500,80500,58,10,0.769,18
Wartburg College,Iowa,49300,88000,49,34,0.785,12
Washburn University,Kansas,47000,83000,54,4,0.766,12
Washington Adventist University,Maryland,55600,97600,63,9,0.755,10
Washington and Lee University,Virginia,65900,123200,40,18,0.869,1
Washington College,Maryland,52800,93500,55,21,0.771,14
Washington State University,Washington,55900,103700,50,20,0.855,5
Washington University in St Louis,Missouri,64800,114900,42,30,0.773,2
Wayne State College,Nebraska,40600,73400,54,11,0.808,18
Wayne State University,Michigan,50800,91700,53,21,0.805,12
Webb Institute,New-York,80800,141800,0,100,0.755,3
Weber State University,Utah,53900,94000,60,8,0.744,3
Webster University,Missouri,46500,83500,50,2,0.796,15
Wellesley College,Massachusetts,58900,106200,48,34,0.803,18
Wentworth Institute of Technology,Massachusetts,62700,112700,53,39,0.797,15
Wesley College,Delaware,45400,77300,50,2,0.703,4
Wesleyan University,Connecticut,61600,117000,53,21,0.899,3
West Liberty University,West-Virginia,42500,77000,51,6,0.812,10
West Virginia State University,West-Virginia,41800,76000,46,8,0.818,12
